RouteNumber,Stop,latitude,longitude,StopNumber
13,O'Connell St Upper Dublin,53.35134358,-6.261115937,281
13,Parnell Square West Rotunda,53.35284092,-6.26457021,7
13,St Joseph's Parade Phibsborough,53.35681521,-6.264679205,11
13,Dorset Street Lower Phibsborough,53.35853124,-6.262776563,14
13,Innisfallen Parade Ballybough,53.36026673,-6.260978021,15
13,Drumcondra Rail Stn Drumcondra,53.36307835,-6.258399329,17
13,Dargle Road Drumcondra,53.36585593,-6.255956802,18
13,Botanic Avenue Drumcondra,53.36723492,-6.255600005,19
13,DCU St Patrick's Drumcondra,53.37010124,-6.254310557,21
13,DCU St Patrick's Drumcondra,53.37155352,-6.253439576,7602
13,Wellpark Avenue Drumcondra,53.37395795,-6.2519135,85
13,Home Farm FC Whitehall,53.37605023,-6.251166316,86
13,Clare Road Whitehall,53.3767517,-6.254880285,87
13,Walnut Rise Whitehall,53.37728725,-6.257699244,88
13,Lambay Road Whitehall,53.37802716,-6.26159212,89
13,Ballymun Road Glasnevin,53.37943894,-6.266585288,27
13,Hampstead Avenue Glasnevin,53.38157864,-6.266002339,28
13,Albert College Park Whitehall,53.38348823,-6.265669114,29
13,DCU Whitehall,53.38496651,-6.265338358,4680
13,Albert College Ct Wadelai,53.38638551,-6.265265623,90
13,Ballymun Road NS Wadelai,53.38842787,-6.265408142,91
13,Ballymun Library Ballymun,53.38983735,-6.264674241,92
13,Gateway Avenue Ballymun,53.39230149,-6.264153034,93
13,Civic Centre Ballymun,53.39603479,-6.26437695,94
13,Balbutcher Lane Ballymun,53.39777311,-6.267719842,102
13,Dolmen Court Ballymun,53.39804203,-6.271393326,6239
13,Poppintree Parade Poppintree,53.3997562,-6.276812987,104
13,Crannogue Road Poppintree,53.40181591,-6.279406759,6241
13,Belclare Park Ballymun,53.40293644,-6.28169263,105
13,Balbutcher Drive Poppintree,53.40395849,-6.281516197,6253
13,Balbutcher Way Ballymun,53.40451118,-6.276214623,7191
13,Ballymun Ballymun,53.40119202,-6.266723668,6238
13,Santry Cross Ballymun,53.40225079,-6.265357148,6182
13,Gulliver's Retail Ballymun,53.40425502,-6.265350821,322
13,Silloge Golf Club Silloge,53.4129299,-6.265449025,323
13,Harristown St. Margaret's,53.41735263,-6.278538731,332
14,Dundrum Luas Dundrum,53.29241669,-6.245734227,2825
14,Taney Park Dundrum,53.29209025,-6.24249243,7719
14,Sydenham Road Dundrum,53.29006917,-6.239530428,7720
14,Ballinteer Road Dundrum,53.28898268,-6.244479943,7718
14,Ballinteer Road Dundrum,53.28786003,-6.246371015,2842
14,Lynwood Ballinteer,53.28432483,-6.245570848,2843
14,Ashlawn Ballinteer,53.28264299,-6.244889855,2844
14,Wesley College Ballinteer,53.27954677,-6.244596894,2845
14,Ballinteer Park Ballinteer,53.27723215,-6.247945801,2846
14,Ballinteer Court Woodpark (Dublin),53.27625398,-6.249890197,2847
14,The Rise Ballinteer,53.2755142,-6.251539953,4397
14,Broadford Rise Ballinteer,53.27535587,-6.255460093,2848
14,Broadford Close Ballinteer,53.27743617,-6.255120528,2849
14,Broadford Drive Ballinteer,53.2796815,-6.255613898,2850
14,Broadford Walk Ballinteer,53.28069068,-6.258242234,2851
